Char,Width,"P. count",Pixels
=B,=11,=60,"=0,0,0,1,0,0,2,0,0,3,0,0,4,0,48,0,1,0,5,1,23,0,2,0,5,2,0,0,3,0,5,3,0,0,4,0,4,4,118,5,4,69,0,5,0,1,5,0,2,5,0,3,5,0,4,5,0,0,6,0,5,6,23,0,7,0,5,7,0,0,8,0,5,8,23,0,9,0,1,9,0,2,9,0,3,9,0,4,9,73,"
=b,=11,=60,"=0,0,0,0,1,0,0,2,0,0,3,0,2,3,23,3,3,0,4,3,93,0,4,0,1,4,46,4,4,93,5,4,94,0,5,0,5,5,0,0,6,0,5,6,0,0,7,0,5,7,0,0,8,0,1,8,44,4,8,95,5,8,119,0,9,0,2,9,23,3,9,0,4,9,119,"
=M,=11,=90,"=1,0,0,7,0,0,1,1,0,7,1,0,1,2,0,2,2,73,6,2,50,7,2,0,2,3,0,6,3,25,7,3,101,0,4,75,5,4,101,0,5,51,3,5,0,5,5,0,8,5,101,0,6,26,3,6,50,4,6,50,5,6,102,8,6,76,0,7,0,4,7,0,8,7,50,0,8,0,8,8,25,0,9,0,8,9,0,"
=p,=10,=54,"=0,0,0,2,0,24,3,0,0,4,0,98,0,1,0,1,1,75,4,1,98,5,1,95,0,2,0,5,2,0,0,3,0,5,3,0,0,4,0,5,4,0,0,5,0,1,5,50,4,5,102,5,5,119,0,6,0,2,6,25,3,6,0,0,7,0,0,8,0,"
=h,=11,=60,"=0,0,0,0,1,0,0,2,0,0,3,0,2,3,70,3,3,0,4,3,23,0,4,0,1,4,24,5,4,0,0,5,0,5,5,0,0,6,0,5,6,0,0,7,0,5,7,0,0,8,0,5,8,0,0,9,0,5,9,0,"
=.,=2,=1,"=0,0,0,"
=C,=11,=80,"=3,0,52,4,0,0,5,0,26,6,0,102,1,1,78,2,1,103,7,1,50,1,2,78,0,3,0,0,4,0,0,5,0,0,6,26,1,7,76,1,8,77,2,8,77,7,8,0,3,9,51,4,9,0,5,9,26,6,9,100,"
=!,=11,=10,"=0,0,25,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,9,26,"
=g,=11,=50,"=1,0,69,2,0,0,3,0,93,4,0,0,0,1,90,1,1,113,4,1,0,0,2,0,4,2,0,0,3,0,4,3,0,0,4,0,4,4,0,0,5,90,1,5,111,4,5,0,1,6,46,2,6,0,3,6,66,4,6,0,4,7,0,3,8,110,4,8,66,1,9,22,2,9,0,3,9,89,"
=ã,=11,=60,"=1,0,118,2,0,48,4,0,0,1,1,0,4,1,23,1,3,95,2,3,0,3,3,0,4,3,69,4,4,113,5,4,69,5,5,0,1,6,114,2,6,45,3,6,0,4,6,0,5,6,0,0,7,45,5,7,0,0,8,0,4,8,69,5,8,0,1,9,44,2,9,0,3,9,23,5,9,0,"
